Subfolder,File,Accuracy,Precision (macro),Recall (macro),F1 Score (macro),F1 Score (weighted)
full_data_train_de,first_alphabetically_consecutive_first_letter.csv,0.995,0.9904347826086957,0.9878985507246377,0.9888474810213941,0.9963809523809524
full_data_train_de,first_alphabetically_different_first_letter.csv,0.9716666666666667,0.9473684210526315,0.9461152882205515,0.9467186484730344,0.9724691358024692
full_data_train_de,first_alphabetically_far_first_letter.csv,0.9733333333333334,0.8852459016393442,0.8786814278617556,0.8817761235719642,0.9764902862815749
full_data_train_de,first_alphabetically_same_first_letter.csv,0.8683333333333333,0.7933706816059756,0.7785247432306256,0.7730524533045541,0.8767708032708034
full_data_train_de,first_letter.csv,0.34833333333333333,0.21015403814836553,0.44387464387464387,0.2642938509397836,0.23310275857006635
full_data_train_de,first_word.csv,0.0,0.0,0.0,0.0,0.0
full_data_train_de,last_letter.csv,0.3466666666666667,0.18055972629564873,0.15619991100241964,0.15875422086069774,0.3476257701660956
full_data_train_de,last_word.csv,0.105,0.07604788037858903,0.06782902137232845,0.06630428737885893,0.11034516028633674
full_data_train_de,less_letters.csv,0.505,0.4508873912283003,0.2939109625272727,0.3421749717857569,0.5941591559273549
full_data_train_de,less_letters_length_diff_1.csv,0.5016666666666667,0.4852914389799636,0.4626788966952901,0.43657383903285535,0.5119035594035594
full_data_train_de,less_letters_length_diff_3plus.csv,0.565,0.4852941176470588,0.2747704969482651,0.34230322165410765,0.7073130342209483
full_data_train_de,more_letters.csv,0.5883333333333334,0.5754067864142491,0.4740249385771775,0.4828738579628096,0.6474364476253021
full_data_train_de,more_letters_length_diff_1.csv,0.5033333333333333,0.4981012118108892,0.4688620071684588,0.45448479238801814,0.5089896492396493
full_data_train_de,more_letters_length_diff_3plus.csv,0.5916666666666667,0.5106382978723404,0.32247982513939966,0.38458385002692397,0.7212793763472186
full_data_train_de,smaller_number.csv,0.7866666666666666,0.6569611780455153,0.6499330655957162,0.6425989672977626,0.7901825396825397
full_data_train_de,word_after.csv,0.11833333333333333,0.06048345837400438,0.07184101428287475,0.06177829051873374,0.10527135532392208
full_data_train_de,word_before.csv,0.11,0.06615602043823135,0.07669475260335402,0.0668688890669085,0.09718343231788817
task_data_train_BPE_de,bigger_number.csv,0.7466666666666667,0.6170483460559796,0.6033715012722646,0.5995456197746275,0.7533333333333332
task_data_train_BPE_de,first_alphabetically.csv,0.725,0.6200890673112895,0.6235058922558923,0.5791897246667341,0.7296966679366576
task_data_train_BPE_de,first_alphabetically_consecutive_first_letter.csv,0.7866666666666666,0.6616333178222429,0.5774158523344192,0.6044963360924273,0.8322683982683983
task_data_train_BPE_de,first_alphabetically_different_first_letter.csv,0.9083333333333333,0.6707317073170732,0.6105223536625976,0.6346439170728129,0.9446992097086104
task_data_train_BPE_de,first_alphabetically_far_first_letter.csv,0.9183333333333333,0.7236842105263158,0.661605280684228,0.6888328162898824,0.9541274491619849
task_data_train_BPE_de,first_alphabetically_same_first_letter.csv,0.6183333333333333,0.49478114478114477,0.49158249158249157,0.468409200227382,0.6241517556517556
task_data_train_BPE_de,first_letter.csv,0.18833333333333332,0.16911614533085664,0.28290224926588564,0.18462104960132245,0.13335728091663357
task_data_train_BPE_de,first_word.csv,0.0,0.0,0.0,0.0,0.0
task_data_train_BPE_de,last_letter.csv,0.3616666666666667,0.24337611422387007,0.2506201305688481,0.2242944873174411,0.3849766813731218
task_data_train_BPE_de,last_word.csv,0.16833333333333333,0.09621031746031745,0.10714082214082213,0.09384051460522048,0.15696135161135163
task_data_train_BPE_de,less_letters.csv,0.7033333333333334,0.5562395027558962,0.445370322648529,0.47087319101681313,0.7589999029124712
task_data_train_BPE_de,less_letters_length_diff_1.csv,0.53,0.4711325611325612,0.4950750750750751,0.43753705753705757,0.507637654012654
task_data_train_BPE_de,less_letters_length_diff_3plus.csv,0.8616666666666667,0.66,0.5657062594268476,0.6022193882491402,0.9166647025048256
task_data_train_BPE_de,more_letters.csv,0.76,0.641877353415815,0.6038292263292264,0.5888410521763702,0.771343992694612
task_data_train_BPE_de,more_letters_length_diff_1.csv,0.555,0.5033872665088135,0.5241383846356222,0.47130257349626864,0.5302242958566488
task_data_train_BPE_de,more_letters_length_diff_3plus.csv,0.8433333333333334,0.6302521008403361,0.5435959698564741,0.5715021562682492,0.8914555596285777
task_data_train_BPE_de,smaller_number.csv,0.7833333333333333,0.6504439890710383,0.6508879781420764,0.6401899557637263,0.7840264550264551
task_data_train_BPE_de,word_after.csv,0.11333333333333333,0.044297536280190446,0.07259764397338363,0.049663097902243256,0.08683220358714965
task_data_train_BPE_de,word_before.csv,0.09666666666666666,0.05961025801749784,0.08526743700263276,0.062015014588076206,0.07637806757267174
task_data_train_de,bigger_number.csv,0.905,0.8365180467091295,0.8197098372257609,0.8230512587200485,0.9153253968253968
task_data_train_de,first_alphabetically.csv,0.855,0.7868929812326039,0.8110508726074764,0.7798845616343083,0.8572609903081984
task_data_train_de,first_alphabetically_consecutive_first_letter.csv,0.9983333333333333,0.9956331877729258,0.9945414847161572,0.9950093574547724,0.9990476190476191
